issue_id	issue_number	issue_by	issue_title	issue_created_at	issue_closed_at	issue_closed_by
11515962	170	10137	Allow to specify the musicbrainz ID when importing without having to wait for beet to search first	2013-02-28 19:42:59	None	-1
11515961	169	10137	Interactively set the album disambiguation string	2013-02-28 19:42:58	None	-1
11515960	168	10137	auto-update the bpd database when a new item is imported to beets db	2013-02-28 19:42:58	None	-1
11515959	167	10137	Feature Request: Ability to handle valid character ranges in paths	2013-02-28 19:42:57	None	-1
11515957	166	10137	Rescan current album directory during import	2013-02-28 19:42:57	None	-1
11515956	165	10137	Plugin API for format not supported by mutagen	2013-02-28 19:42:57	None	-1
11515955	164	10137	Visual tag editor	2013-02-28 19:42:56	None	-1
11515949	160	10137	"Support for ""hybrid mode"" WavPack files"	2013-02-28 19:42:53	None	-1
11515948	159	10137	embedart: command should work on items, not just albums	2013-02-28 19:42:53	None	-1
11515943	155	10137	Artists with identical names don't belong together	2013-02-28 19:42:51	None	-1
11515942	154	10137	Manual mapping of track names	2013-02-28 19:42:51	None	-1
11515941	153	10137	symlinks for splits and collaborations	2013-02-28 19:42:50	None	-1
11515940	152	10137	Fix first letter caps	2013-02-28 19:42:50	None	-1
11515939	151	10137	Clear between correction suggestions	2013-02-28 19:42:49	None	-1
11515938	150	10137	Add support for generating nfo files	2013-02-28 19:42:47	None	-1
11515936	149	10137	Move music to trash	2013-02-28 19:42:47	None	-1
11515932	147	10137	Enhancement - FetchArt Plugin Logfile	2013-02-28 19:42:45	None	-1
11515930	146	10137	Restore file mtimes after modification	2013-02-28 19:42:44	None	-1
11515929	145	10137	"Delete ""extra"" files after album import"	2013-02-28 19:42:44	None	-1
11515927	144	10137	Reduce penalty for missing ignore [silence], [hidden], etc tracks.	2013-02-28 19:42:43	None	-1
11515924	141	10137	Details in import log	2013-02-28 19:42:42	None	-1
11515923	140	10137	Deal with music directly from the filesystem	2013-02-28 19:42:41	None	-1
11515922	139	10137	CD ripping	2013-02-28 19:42:41	None	-1
11515920	137	10137	Report error when cover art not found	2013-02-28 19:42:40	None	-1
11515918	136	10137	Support for cuesheets	2013-02-28 19:42:39	None	-1
11515915	133	10137	Use paths relative to music directory	2013-02-28 19:42:38	None	-1
11515913	132	10137	Album art for singletons	2013-02-28 19:42:37	None	-1
11515911	131	10137	MusicBrainz web interface integration	2013-02-28 19:42:36	None	-1
11515909	130	10137	Empty directories are sometimes left behind	2013-02-28 19:42:35	None	-1
11515908	129	10137	Extend options for unmatched tracks	2013-02-28 19:42:34	None	-1
11515906	127	10137	Add option to write dismbiguated album name to tags	2013-02-28 19:42:33	None	-1
11515905	126	10137	Pipeline fingerprint generation	2013-02-28 19:42:33	None	-1
11515901	123	10137	Playlists	2013-02-28 19:42:30	None	-1
11515897	122	10137	Ratings and tags management	2013-02-28 19:42:28	None	-1
11515893	120	10137	Manually mark as album	2013-02-28 19:42:26	None	-1
11515888	116	10137	Quality-based Trumping during import	2013-02-28 19:42:24	None	-1
11515832	112	10137	Album merging/completion	2013-02-28 19:40:59	None	-1
11515831	111	10137	Attachments to items and albums	2013-02-28 19:40:59	None	-1
11515829	110	10137	Ignore OS-specific hidden files	2013-02-28 19:40:58	None	-1
11394857	101	1033963	Labels plugin	2013-02-26 05:15:27	None	-1
